Date,Tech_Close,Tech_Signal,FMCG_Close,FMCG_Signal,Banking_Close,Banking_Signal,Equity Curve,Returns,Drawdowns,Cumulative Return,Rolling Sharpe,Rolling Sortino,Rolling Volatility,Market Exposure
2024-01-01,1512.3936767578125,0,5251.4462890625,0,1907.059814453125,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-02,1495.869384765625,0,5220.89453125,0,1863.0081787109375,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-03,1452.5843505859375,0,5186.29443359375,0,1863.857177734375,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-04,1474.7142333984375,0,5292.4130859375,0,1861.5596923828125,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-05,1494.0657958984375,0,5204.6064453125,0,1845.5771484375,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-08,1484.5606689453125,0,5110.8271484375,0,1824.1007080078125,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-09,1490.8974609375,0,5056.5830078125,0,1824.650146484375,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-10,1481.7333984375,0,5021.29248046875,0,1818.806640625,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-11,1456.6787109375,0,5070.69970703125,0,1820.854248046875,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-12,1572.2518310546875,0,5084.91455078125,0,1831.242919921875,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-15,1610.61376953125,0,5110.8271484375,0,1849.472900390625,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-16,1590.579833984375,0,5064.677734375,0,1845.976806640625,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-17,1599.012451171875,0,4996.6630859375,0,1777.70166015625,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-18,1601.352294921875,0,4950.7109375,0,1775.30419921875,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-19,1617.535400390625,0,5072.6240234375,0,1762.368408203125,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-23,1600.9136962890625,0,4983.23779296875,0,1782.5462646484375,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-24,1633.32861328125,0,5076.17822265625,0,1786.6417236328125,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-25,1627.186767578125,0,5075.83251953125,0,1766.4639892578125,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-29,1615.000732421875,0,5070.896484375,0,1820.904296875,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-30,1609.97998046875,0,5026.32666015625,0,1821.603515625,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-31,1619.1927490234375,0,5131.6064453125,0,1823.251708984375,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-02-01,1615.439453125,0,5082.4462890625,0,1820.75439453125,0,1000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
