,Type,Price,Date,Asset,Return
85,Sell,5726.89990234375,2024-10-31,FMCG,-0.017920225288956683
86,Buy,1757.1500244140625,2024-11-05,Banking,0.0
87,Buy,1823.699951171875,2024-11-06,Tech,0.0
88,Sell,1746.9000244140625,2024-11-07,Banking,-0.005833309539643864
89,Sell,1811.449951171875,2024-11-18,Tech,-0.006717113740189762
90,Buy,1727.75,2024-11-19,Banking,0.0
91,Buy,1902.25,2024-11-22,Tech,0.0
92,Buy,5013.60009765625,2024-11-26,FMCG,0.0
93,Sell,1856.6500244140625,2024-11-28,Tech,-0.02397159972976081
94,Buy,1879.800048828125,2024-12-02,Tech,0.0
95,Sell,4828.35009765625,2024-12-12,FMCG,-0.03694949664744908
96,Sell,1784.050048828125,2024-12-17,Banking,0.03258576115070178
97,Sell,1946.199951171875,2024-12-19,Tech,0.03532285382434369
98,Buy,4761.64990234375,2024-12-26,FMCG,0.0
99,Buy,1759.9000244140625,2024-12-27,Banking,0.0
100,Sell,1740.699951171875,2024-12-30,Banking,-0.010909752244920806
101,Sell,4762.75,2024-12-31,FMCG,0.00023103287280917413
